"id";"updated";"ship";"imo";"lat";"long";"sog";"cog";"hdg";"depPort";"etdSchedule";"etd";"atd";"arrPort";"etaSchedule";"eta";"ata"
4136;"2018-05-04 19:18:00";Megastar;9773064;60.1469;24.9135;6.3;219;216;FIHEL;"2018-05-04 19:30:00";"2018-07-04 15:29:00";"2018-04-05 19:18:20";EETLL;"2018-05-04 21:30:00";"2018-04-05 21:25:00";"2018-04-05 21:23:00"
4137;"2018-05-04 19:19:00";Megastar;9773064;60.1445;24.91;11.6;217;217;FIHEL;"2018-05-04 19:30:00";"2018-07-04 15:29:00";"2018-04-05 19:18:20";EETLL;"2018-05-04 21:30:00";"2018-04-05 21:25:00";"2018-04-05 21:29:00"
4138;"2018-05-04 19:20:00";Megastar;9773064;60.1412;24.9061;14.2;198;199;FIHEL;"2018-05-04 19:30:00";"2018-07-04 15:29:00";"2018-04-05 19:18:20";EETLL;"2018-05-04 21:30:00";"2018-04-05 21:25:00";"2018-04-05 21:30:00"
4139;"2018-05-04 19:21:00";Star;9364722;59.4462;24.7726;3.7;17;159;EETLL;"2018-05-04 19:30:00";"2018-07-04 15:25:00";"2018-04-05 19:21:17";FIHEL;"2018-05-04 21:30:00";"2018-04-05 21:26:00";"2018-04-05 21:46:00"
4140;"2018-05-04 19:22:00";Megastar;9773064;60.1344;24.9056;15.9;179;179;FIHEL;"2018-05-04 19:30:00";"2018-07-04 15:29:00";"2018-04-05 19:18:20";EETLL;"2018-05-04 21:30:00";"2018-04-05 21:25:00";"2018-04-05 21:32:00"
4141;"2018-05-04 19:22:00";Star;9364722;59.4469;24.7728;2.8;354;107;EETLL;"2018-05-04 19:30:00";"2018-07-04 15:25:00";"2018-04-05 19:21:17";FIHEL;"2018-05-04 21:30:00";"2018-04-05 21:26:00";"2018-04-05 22:13:00"
4142;"2018-05-04 19:22:00";Megastar;9773064;60.1322;24.9056;16.1;181;181;FIHEL;"2018-05-04 19:30:00";"2018-07-04 15:29:00";"2018-04-05 19:18:20";EETLL;"2018-05-04 21:30:00";"2018-04-05 21:25:00";"2018-04-05 21:32:00"
4143;"2018-05-04 19:23:00";Star;9364722;59.4478;24.7746;6.0;46;52;EETLL;"2018-05-04 19:30:00";"2018-07-04 15:25:00";"2018-04-05 19:21:17";FIHEL;"2018-05-04 21:30:00";"2018-04-05 21:27:00";"2018-04-05 21:31:00"
4144;"2018-05-04 19:23:00";Megastar;9773064;60.1272;24.9055;17.0;181;181;FIHEL;"2018-05-04 19:30:00";"2018-07-04 15:29:00";"2018-04-05 19:18:20";EETLL;"2018-05-04 21:30:00";"2018-04-05 21:25:00";"2018-04-05 21:33:00"
4145;"2018-05-04 19:24:00";Star;9364722;59.4496;24.7773;11.6;23;22;EETLL;"2018-05-04 19:30:00";"2018-07-04 15:25:00";"2018-04-05 19:21:17";FIHEL;"2018-05-04 21:30:00";"2018-04-05 21:27:00";"2018-04-05 21:22:00"
